season	anime_title	kind	detail
2027-SPRING	尚善	NO_PAGE	NO_PAGE:158454 尚善
2026-WINTER	超かぐや姫！	GATE_FAIL	GATE_FAIL:206719 超かぐや姫！ 候補=['princess']
2026-WINTER	有栖川煉ってホントは女なんだよね。	NO_PAGE	NO_PAGE:128986 ホントはえっちな女の子。
2026-WINTER	プリズム輪舞曲	NO_PAGE	NO_PAGE:205279 プリズム輪舞曲
2026-WINTER	イチゴ哀歌～雑で生イキな妹と割り切れない兄～	GATE_FAIL	GATE_FAIL:161036 イチゴ哀歌～雑で生イキな妹と割り切れない兄～ 候補=['ichigo']
2026-SUMMER	透明な夜に駆ける君と、目に見えない恋をした。	GATE_FAIL	GATE_FAIL:181168 透明な夜に駆ける君と、目に見えない恋をした。 候補=['nights']
2026-SUMMER	身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした	GATE_FAIL	GATE_FAIL:207899 身代わり令嬢を救ったのは冷酷無慈悲な氷の王子の愛でした 候補=['hinako']
2026-SUMMER	同じゼミの染谷さんがセクシー女優だった話。	NO_PAGE	NO_PAGE:163473 同じゼミの染谷さんがAV女優だった話。
2026-SUMMER	チートアイテム管理局のお仕事EX 散々ヤラれた後だし、どうせ全部忘れるから、被害者つまみ食いしてもいいよね	GATE_FAIL	GATE_FAIL:202892 チートアイテム管理局のお仕事EX 散々ヤラれた後だし、どうせ全部忘れるから、被害者つまみ食いしてもいいよね 候補=['work-in', 'working']
2026-SUMMER	ごーすと・みーつ・ぎゃる！	NO_PAGE	NO_PAGE:214728 ごーすと・みーつ・ぎゃる！
2026-SPRING	灰原くんの強くて青春ニューゲーム	GATE_FAIL	GATE_FAIL:167434 灰原くんの強くて青春ニューゲーム 候補=['new-game'] / GATE_FAIL:203188 灰原くんの強くて青春ニューゲーム ～雨に打たれる君に傘を差そう～ 候補=['new-game']
2026-SPRING	女神「異世界転生何になりたいですか」 俺「勇者の肋骨で」	NO_CAND	
2026-SPRING	大賢者リドルの時間逆行	NO_PAGE	NO_PAGE:208220 大賢者リドルの時間逆行
2026-SPRING	ガンバレ！中村くん！！	NO_PAGE	NO_PAGE:86549 ガンバレ！中村くん！！ / NO_PAGE:107234 もっとガンバレ！中村くん！！
2026-SPRING	オタクの僕が一軍ギャルと付き合えるまでの話	NO_PAGE	NO_PAGE:202759 オタクの僕が一軍ギャルと付き合えるまでの話
2026-SPRING	おしりダンディ ザ・ヤング	NO_PAGE	NO_PAGE:115081 おしりダンディ ザ・ヤング
2026-FALL	人付き合いが苦手な未亡人の雪女さんと呪いの指輪	NO_PAGE	NO_PAGE:150436 人付き合いが苦手な未亡人の雪女さんと呪いの指輪
2026-FALL	デモンズ・クレスト	NO_PAGE	NO_PAGE:155848 デモンズ・クレスト
2026-FALL	ゆうさんち！from 遊ハち	NO_PAGE	NO_PAGE:212489 デカいはち / NO_PAGE:205732 嗚呼、たぬきはもうだめです
2026-FALL	とある暗部の少女共棲	NO_PAGE	NO_PAGE:162615 とある暗部の少女共棲
2025-WINTER	キミとアイドルプリキュア♪	NO_PAGE	NO_PAGE:185975 キミとアイドルプリキュア♪　プリキュアコレクション
2025-WINTER	「1分間だけ挿れてもいいよ…」シェアハウスの秘密ルール。	GATE_FAIL	GATE_FAIL:122727 「1分間だけ挿れてもいいよ…」シェアハウスの秘密ルール。 候補=['only-one', 'secret']
2025-WINTER	Unnamed Memory Act.2	GATE_FAIL	GATE_FAIL:120039 Unnamed Memory 候補=['memory']
2025-SUMMER	青春ブタ野郎はサンタクロースの夢を見ない	NO_CAND	
