vagabond	バガボンド	井上雄彦	完全一致なし	{"682072": {"exact": false, "au": true, "ev": "リアル 1 - 井上雄彦 - 電子書籍・無料漫画ならブックライブ"}, "265700": {"exact": false, "au": true, "ev": "現代の肖像 井上雄彦 - 神田憲行/時津剛 - ブックライブ"}, "114077": {"exact": false, "au": true
yotsuba-to	よつばと!	あずまきよひこ	完全一致なし	{"321567": {"exact": false, "au": true, "ev": "ヒヨコノアルキカタ - あさのますみ/あずまきよひこ - ブックライブ"}, "178568": {"exact": false, "au": true, "ev": "【感想・ネタバレ】赤毛のアンのレビュー - ブックライブ"}, "2007704": {"exact": false, "au": tr
mushoku-tensei	無職転生	米田和佐	完全一致なし	{"1201454": {"exact": false, "au": false, "ev": "【電子限定版】無職転生 ～異世界行ったら本気だす～ 失意の魔術師 ..."}, "1075295": {"exact": false, "au": false, "ev": "【分冊版】無職転生 ～異世界行ったら本気だす～ 失意の魔術師編 第 ..."}, "288812": {"exact": fa
akira	AKIRA	大友克洋	完全一致なし	{"209713": {"exact": false, "au": true, "ev": "境界戦線のレビュー【あらすじ・感想・ネタバレ】 - 電子書籍・無料 ..."}, "1324589": {"exact": false, "au": true, "ev": "東京“偏愛”論 あなたが知らない東京の魅力を語るのレビュー ..."}, "707586": {"exact": false, "
jagaaaaaan	ジャガーン	富士沢一矢	完全一致なし	{"50002230": {"exact": false, "au": false, "ev": "週刊プロレス 2016年 5/25号 No.1849 | ブックライブ"}, "20000683": {"exact": false, "au": false, "ev": "Racing on No.519 - 電子書籍・無料漫画ならブックライブ"}, "10000022": {"exact": 
kubo-san-wa-mob-o-yurusanai	久保さんは僕(モブ)を許さない	荒井小豆	完全一致なし	{"754398": {"exact": false, "au": true, "ev": "カッコウの許嫁（16） - 吉河美希 - 電子書籍・無料漫画ならブック ..."}, "1382435": {"exact": false, "au": false, "ev": "現代農業2024年7月号 - 農文協 - 電子書籍・無料漫画ならブックライブ"}, "20000212": {"exact"
juujika-no-rokunin	十字架のろくにん	前屋進	完全一致なし	{"826633": {"exact": true, "au": false, "ev": "十字架のろくにん（1） - 中武士竜 - ブックライブ"}}
tate-no-yuusha-no-nariagari	盾の勇者の成り上がり	あいやーぼーる	完全一致なし	{"60006378": {"exact": false, "au": false, "ev": "ねこだらけ（9） ファイナルアンサー（最新刊） - 横山キムチ - 電子 ..."}, "1539399": {"exact": false, "au": false, "ev": "極道メイドくんはお嬢様を暗殺したい (3) - 大原ロロン - ブックライブ"}, "1651338": {"exa
karakai-jouzu-no-moto-takagi-san	からかい上手の〈元〉高木さん	山本崇一朗	完全一致なし	{"274635": {"exact": false, "au": true, "ev": "からかい上手の高木さん 4 | ブックライブ"}, "478281": {"exact": false, "au": true, "ev": "からかい上手の（元）高木さん 1 - 稲葉光史/山本崇一朗 - ブックライブ"}}
kumo-desu-nanika	蜘蛛ですが、なにか?	グラタン鳥	完全一致なし	{"719038": {"exact": false, "au": true, "ev": "蜘蛛ですが、なにか？ 蜘蛛子四姉妹の日常 （5）のレビュー ..."}, "20050353": {"exact": false, "au": false, "ev": "蜘蛛ですが、なにか？ 蜘蛛子四姉妹の日常【分冊版】 1 - ブックライブ"}}
boku-dake-ga-inai-machi	僕だけがいない街	三部敬	完全一致なし	{"207937": {"exact": true, "au": false, "ev": "僕だけがいない街(3) - 三部けい - ブックライブ"}}
akutaaju	アクタージュ	マツキタツヤ	完全一致なし	{"386683": {"exact": false, "au": true, "ev": "ジャンプGIGA 2020 WINTER - 週刊少年ジャンプ編集部 - ブックライブ"}}
devilman-the-first	デビルマン-ザ・ファースト-	永井豪	完全一致なし	{"336570": {"exact": false, "au": true, "ev": "サイボーグ009VSデビルマン トゥレチェリイズ～裏切り者たち"}, "269037": {"exact": false, "au": false, "ev": "サイボーグ009（1） - 石ノ森章太郎 - ブックライブ"}, "250162": {"exact": false, "au": false
hige-o-soru-soshite-joshikousei-o-hirou	ひげを剃る。そして女子高生を拾う。	士土幽太郎	完全一致なし	{"450386": {"exact": false, "au": false, "ev": "Febri（フェブリ） Vol.50 [巻頭グラビア]キズナアイ [雑誌]"}}
xxxholic	xxxHOLiC	CLAMP	完全一致なし	{"1009058": {"exact": false, "au": true, "ev": "演劇調異譚「xxxHOLiC」 パンフレット【電子版】 - CLAMP ..."}, "1118323": {"exact": false, "au": true, "ev": "公式コミックガイド xxxHOLiC・戻 夢渡縁起 - ブックライブ"}, "174297": {"exact": fals
shadows-house	シャドーハウス	青インク	完全一致なし	{"307445": {"exact": false, "au": false, "ev": "DIAMONDハーバード・ビジネス・レビュー 16年12月号"}, "20020849": {"exact": false, "au": false, "ev": "NYLON JAPAN 2026年4月号 | ブックライブ"}, "10000027": {"exact": false, "au": f
