slug	isbn	title	rakuten_kana	ndl_kana
buyotopia	9784088851624	ブヨトピア	ブヨトピア	ブヨトピアイチ
shima-rock	9784088850849	島ロック	シマロック	シマロックイチ
taro	9784088850979	TARO	タロ	タロイチ
mizu-no-kai-suiiki-kaii-ki-tan-imayou	9784088850832	水ノ怪ー水域怪異奇譚今様ー	ミズノケ スイイキカイイキタンイマヨウ	ミズノケスイイキカイイキタンイマヨウイチ
yosougai-no-dekiai-ni-tomado-teimasu	9784098734405	予想外の溺愛に、戸惑っています	ヨソウガイノデキアイニトマドッテイマス	ヨソウガイノデキアイニトマドッテイマスアリノママノワタシデイインデスカ
hakugin-shiro-no-shitsukekata	9784088432823	白銀シロのしつけかた	シロガネシロノシツケカタ	シロガネシロノシツケカタイチ
bagu-dan-sono-otokotachi-toriatsukai-chuui-nitsuki	9784065442043	バグダン　※その男たち取り扱い注意につき	バグダンソノオトコタチトリアツカイチュウイニツキ	バグダンソノオトコタチトリアツカイチュウイニツキ(001)
moshimo-aitsu-no-zensei-ga-mushidatara	9784065442173	もしもアイツの前世が虫だったら〜前世動物診断窓口〜	モシモアイツノゼンセガムシダッタラ ゼンセドウブツシンダンマドグチ	モシモアイツノゼンセガムシダッタラ ゼンセドウブツシンダンマドグチ(001)
kamisama-to-hatsukoi	9784065442265	神様と初恋	カミサマトハツコイ	カミサマトハツコイ(001)
100-kai-mawa-te-ai-o-nake	9784592231400	100回まわって愛を啼け	ヒャッカイマワッテアイヲナケ	ヒャッカイマワッテアイヲナケ001デンシゲンテイオマケツキ
toro-wa-furuuru-wa-uso-o-tsuku	9784041170960	トロワ・フルールは嘘をつく	トロワ・フルールハウソヲツク	トロワ・フルールハウソヲツク（１）
28-sai-ol-akuyaku-ouji-o-hajimemashita	9784344858145	28歳OL、悪役王子を始めました	ニジュウハッサイオーエルアクヤクオウジヲハジメマシタ	ニジュウハッサイオーエルアクヤクオウジヲハジメマシタ : フジユウナイセカイヲカイカクシマス
tensai-bishoujo-san-shimai-wa-isourou-ni-dake-choro-kawaii	9784041174548	天才美少女三姉妹は居候にだけちょろ可愛い。	テンサイビショウジョサンシマイハオレニダケチョロカワイイ。	テンサイビショウジョサンシマイハオレニダケチョロカワイイ。（1）
tsunrize	9784344857834	ツンリゼ	ツンリゼ	ツンリゼ : ツンデレアクヤクレイジョウリーゼロッテトジッキョウノエンドウクントカイセツノコバヤシサン
mahou-no-ishi	9784864958172	魔法の石	マホウノイシ	マホウノイシ : ヒツヨウナイシハヒツヨウナトキニアナタニマイオリル
golden-phantom	9784065442203	ゴールデンファントム	ゴールデンファントム	ゴールデンファントム(001)
kuro-majosan-ga-tooru	9784065439234	黒魔女さんが通る！！	クロマジョサンガトオル!!	クロマジョサンガトオル(001)
tensei-shitara-winning-eleven-data-ken	9784065441022	転生したらウイニングイレブンだった件	テンセイシタラウイニングイレブンダッタケン	テンセイシタラウイニングイレブンダッタケン(001)
rudorufu-to-ippaiattena	9784065442111	ルドルフとイッパイアッテナ	ルドルフトイッパイアッテナ	ルドルフトイッパイアッテナ(001)
utopia-fuuronpia	9784065440711	ユートピア・フーロンピア	ユートピアフーロンピア	ユートピアフーロンピア(001)
kawatare-kata-ware	9784107729651	かわたれ、かたわれ	カワタレカタワレイチ	カワタレカタワレ01
tsurizao-hitotsu-de-i-sekai-hourou	9784107729569	釣り竿ひとつで異世界放浪	ツリザオヒトツデイセカイホウロウイチ	ツリザオヒトツデイセカイホウロウ01
kimyou-tera-yokochou-no-natsu	9784065442050	帰命寺横丁の夏	キミョウジヨコチョウノナツ	キミョウジヨコチョウノナツ(001)
kou-minoruchan-wa-kao-ga-wakaranai	9784065442739	香穂ちゃんは顔がわからない	カホチャンハカオガワカラナイ	カホチャンハカオガワカラナイ(001)
koushiki-furin	9784065435533	公式不倫（上）	コウシキフリンジョウ	コウシキフリン(001)
kaku-riki	9784065443149	カクリキ	カクリキ	カクリキ(001)
academy-saikyou-no-mob-healer	9784065441350	アカデミー最強のモブヒーラー　〜死にゲー世界のモブに転生した俺は、外れジョブ【ヒーラー】と原作知識で無双する〜	アカデミーサイキョウノモブヒーラー シニゲーセカイノモブニテンセイシタオレハ、ハズレジョブヒーラートゲンサクチシキデムソウスル	アカデミーサイキョウノモブヒーラー(001)
