isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784785972950	2023.1	少年画報社	Comic ; 342. ぐる漫	No. 11	アウトドアごはん. No. 11	アウトドアゴハン			
9784758038393	2023.1	一迅社	IDコミックス. Zero-sum comics	8	悪役令嬢ですが、幸せになってみせますわ! : アンソロジーコミック. 8	アクヤクレイジョウデスガ、シアワセニナッテミセマスワ!:アンソロジーコミック			
9784821155132	2023.1	ぶんか社	Bunkasha comics		あなたが体験した怖い話 : 守護霊vs. 邪悪霊	アナタガタイケンシタコワイハナシ:シュゴレイvs.ジャアクレイ			
9784805317228	[2023]	チャールズ・イー・タトル出版			ANIME &amp; MANGA Digital COLORING Guide : Choose the Colors That Bring Your Drawings to Life!	アニメアンドマンガデジタルカラーリングガイド:チューズザカラーズザットブリングユ	桜井, 輝子	Teruko Sakurai [著]:	桜井, 輝子|01187860|サクライ, テルコ
9784591176061	2023.1	ポプラ社		14	アニメコミックおしりたんてい. 14	アニメコミックオシリタンテイ			
9784758084024	2023.1	一迅社	IDコミックス	3	お兄ちゃんはおしまい!公式アンソロジーコミック. 3	オニイチャンワオシマイ!コウシキアンソロジーコミック			
9784821155163	2023.1	ぶんか社	Bunkasha comics	Vol. 34	俺流!絶品めし. Vol. 34	オレリュウ!ゼッピンメシ			
9784309030913	2023.1	河出書房新社			カラッポの主人公 : 名作マンガ再々読	カラッポノシュジンコウ:メイサクマンガサイサイドク	上田, 啓太, 1984-	上田啓太:著	上田, 啓太, 1984-|032173360|ウエダ, ケイタ, 1984-
9784198655860	2023.1	徳間書店			危機の時代に読み解く『風の谷のナウシカ』	キキノジダイニヨミトクカゼノタニノナウシカ	朝日新聞社	朝日新聞社:編/赤坂憲雄, 杏, 稲葉振一郎, 大木毅, 大澤真幸, 大童澄瞳, 叶精二, 川上弘美, 小泉悠, 河野真太郎, 佐藤雄亮, 杉本バウエンスジェシカ, 鈴木涼美, 鈴木敏夫, 竹宮惠子, 長沼毅, 福岡伸一, 宮崎哲弥:著/鈴	朝日新聞社|00256908|アサヒ シンブンシャ
9784041142158	2023.9	KADOKAWA	角川コミックス・エース	26	機動戦士ガンダムMSV-Rジョニー・ライデンの帰還 26	キドウセンシガンダムエムエスヴイアールジョニーライデンノキカン	Ark Performance/大河原/邦男/富野/由悠季/矢立/肇	Ark Performance:漫画/大河原邦男 メカニックデザイン:/富野由悠季:原作/矢立肇:原案	
