slug	base_title	kana	author
ichibyousakiwakoi	1秒先は、恋	イチビョウサキワコイ	大木真白
ginba	GiNVA	ギンバ	美樹ヌメ夫
esuesuesukyuusukiruhaifushinkannohenkyousekandoraifu-sasensakinomu	SSS級スキル配布神官の辺境セカンドライフ : 左遷先の村人たちに愛されながら最高の村をつくります!	エスエスエスキュウスキルハイフシンカンノヘンキョウセカンドライフ:サセンサキノム	須藤由華
esurankupaateikarakaikosaretajugushi-noroinoaitemushikatsukuremasengaso	Sランクパーティから解雇された〈呪具師〉 : 『呪いのアイテム』しか作れませんが、その性能はアーティファクト級なり……!	エスランクパーティカラカイコサレタジュグシ:ノロイノアイテムシカツクレマセンガソ	小川錦
esukyuupaateiikaratsuihousaretakariudojitsuwasekaisaikyou-shateiki	S級パーティーから追放された狩人、実は世界最強 : 射程9999の男、帝国の狙撃手として無双する	エスキュウパーティーカラツイホウサレタカリウドジツワセカイサイキョウ:シャテイキ	カズミヤアキラ
akatsukinohimaritokuma-furukaraamanga	あかつきのヒマリとくま : フルカラー漫画	アカツキノヒマリトクマ:フルカラーマンガ	サカイタカヒロ
itsukaojousamaninaritaikeidanjonhaishinshagahonmononoojousamani	いつかお嬢様になりたい系ダンジョン配信者が本物のお嬢様になるまで	イツカオジョウサマニナリタイケイダンジョンハイシンシャガホンモノノオジョウサマニ	ぱぴぽぱん!
iyahayaatamikun-nottoiijiideizuobuzapurinsu	いやはや熱海くん : Not easy days of the prince	イヤハヤアタミクン:ノットイージーデイズオブザプリンス	田沼朝
inbirinomura-kaonoonajiotokotachi	いんびりの村 : 顔の同じ男たち	インビリノムラ:カオノオナジオトコタチ	佐藤啓
uchinorukanara-kaigainosugoiinutowagayanoaikendotchimotamaran	うちのルカなら。 : 海外のすごい犬とわが家の愛犬どっちもたまらん	ウチノルカナラ:カイガイノスゴイイヌトワガヤノアイケンドッチモタマラン	五箇野人
ossanboukenshanookuretaeiyuutan-kanshanosuburio1nichi1mankaishi	おっさん冒険者の遅れた英雄譚 : 感謝の素振りを1日1万回していたら、剣聖が弟子入り志願にやってきた	オッサンボウケンシャノオクレタエイユウタン:カンシャノスブリオ1ニチ1マンカイシ	山内了兵
okitsunesamanookiniiri	お狐様のお気に入り	オキツネサマノオキニイリ	茉白あさひな
azuraerukenojinanwahanma	アズラエル家の次男は半魔	アズラエルケノジナンワハンマ	藤村綾生
arasaamajutsushinoyuruuihaaremuraifu-burakkushachikugaisekaidejiyuuki	アラサー魔術師のゆる～いハーレムライフ : ブラック社畜が異世界で自由気ままに有給消化	アラサーマジュツシノユルーイハーレムライフ:ブラックシャチクガイセカイデジユウキ	みんたろう
antatoosananajimittedakedemoiyananoni-zekkoukarahajimaruskyuubisho	アンタと幼なじみってだけでもイヤなのに! : 絶交から始まるS級美少女との学園成り上がり生活	アンタトオサナナジミッテダケデモイヤナノニ!:ゼッコウカラハジマルSキュウビショ	とうのきり
usuzuminohate-misshon-injiapokaripusu	ウスズミの果て : MISSION IN THE APOCALYPSE	ウスズミノハテ:ミッションインジアポカリプス	岩宗治生
gachankii	ガチャンキイ	ガチャンキイ	下元朗
kirakiranokowashikata	キラキラの壊し方	キラキラノコワシカタ	玖々嶌社
mikazukinokuni-osumansenyaichiya	三日月の国 : オスマン千夜一夜	ミカズキノクニ:オスマンセンヤイチヤ	桃山あおい
goryuukokumonogatari	五龍国物語	ゴリュウコクモノガタリ	津寺里可子
koushakureijounohametsujikkyou-hametsuoyogensaretaakuyakureijouda	侯爵令嬢の破滅実況 : 破滅を予言された悪役令嬢だけど、リスナーがいるので幸せです	コウシャクレイジョウノハメツジッキョウ:ハメツオヨゲンサレタアクヤクレイジョウダ	入江利秀
hokenshigakita	保健師がきた	ホケンシガキタ	埜納タオ[著],野口緑監修協力
itsuwarinoakujodesugasuenagakushiawaseninarimashou-onozominokoiookio	偽りの悪女ですが末永く幸せになりましょう : お望みの&quot;恋多き女&quot;を演じているのに夫の様子がおかしい	イツワリノアクジョデスガスエナガクシアワセニナリマショウ:オノゾミノコイオオキオ	大川なぎ
kandousaretanodetanteiyahajimemasu-jitsuwaboukokunojooudanantenaishi	勘当されたので探偵屋はじめます! : 実は亡国の女王だなんて内緒です	カンドウサレタノデタンテイヤハジメマス!:ジツワボウコクノジョオウダナンテナイシ	神江ちず
kattenishoukanshitakuseniikiokuredakaraseijodewanaitoiwaremashita-ise	勝手に召喚したくせに「行き遅れだから聖女ではない」と言われました : 異世界はとても面倒です	カッテニショウカンシタクセニイキオクレダカラセイジョデワナイトイワレマシタ:イセ	海石ともえ
